timestamp,arb_length,arb_rate,arb_surface,asset_0,asset_1,asset_2,asset_3,asset_4,asset_5,asset_6,asset_7
1702579073,3,1.0039697219268364,0.002055479279656547,FET,FDUSD,USDT,,,,,
1702638604,3,1.0001860440111552,4.828991859939791e-6,LINK,USDT,BTC,,,,,
1702638836,3,1.0005094916419601,0.00008397908962431977,USDT,BTC,LINK,,,,,
1702638837,3,1.0008721867364663,0.00019872702997636438,ADA,BTC,USDT,,,,,
1702638838,3,1.0008162870764028,0.00017446607091109456,ADA,USDT,BTC,,,,,
1702638840,3,1.0008162870764028,0.00017446607091109456,BTC,ADA,USDT,,,,,
1702641481,3,1.001732583078474,0.000578075514704457,BNB,USDT,BSW,,,,,
1702641805,4,1.0199190414457373,0.009829578375947445,BTC,RVN,XNO,USDT,,,,
1702641923,4,1.021186221443923,0.008829648067026019,POND,BTC,FLUX,USDT,,,,
1702642018,4,1.012303496231024,0.005353944420381396,POND,MAV,USDT,BTC,,,,
1702642033,3,1.0056526525378595,0.012969349138883368,USDT,FUN,BNB,,,,,
1702642040,4,1.010027197389034,0.004441116451939564,USDT,DOGE,BTC,BETA,,,,
1702642047,4,1.0044984092511136,0.007135771678681069,QKC,USDT,ETH,CHR,,,,
1702642069,4,1.0081204013377927,0.003238266066796447,BTC,SYN,ANKR,USDT,,,,
1702642501,3,1.000244598323835,0.000014964940001860327,LINK,BTC,USDT,,,,,
1702642505,3,1.000308322734286,0.000014964940001860327,BTC,LINK,USDT,,,,,
1702642510,4,1.004329938261721,0.0007901675428068078,DOGE,LINK,BTC,USDT,,,,
1702642513,4,1.00408750223215,0.0007901675428068078,BTC,USDT,LINK,DOGE,,,,
1702642642,3,1.0034856686962,0.0004776502090806378,DOGE,BTC,USDT,,,,,
1702642645,3,1.0035926600881797,0.0004776502090806378,BTC,USDT,DOGE,,,,,
1702642648,3,1.0037985297206469,0.0006534226661130127,BTC,USDT,DOGE,,,,,
1702642652,3,1.0037307571143548,0.0006534226661130127,DOGE,USDT,BTC,,,,,
